Gender,Age Group,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Total,<1,3140,3154,3040,2767,2689,2721,2711,2707,2571,2554
Total,1-4,500,512,476,497,469,460,443,392,379,378
Total,5-9,292,259,278,273,292,274,240,279,270,251
Total,10-14,327,288,300,295,292,295,285,270,310,309
Total,15-19,943,819,815,771,829,832,759,767,831,720
Total,20-24,1496,1383,1321,1283,1372,1350,1394,1211,1359,1368
Total,25-29,1785,1732,1612,1715,1754,1725,1823,1696,1823,1831
Total,30-34,2356,2277,2215,2355,2384,2371,2541,2346,2534,2526
Total,35-39,3681,3416,3117,3260,3215,3326,3289,3471,3607,3570
Total,40-44,5918,5715,5403,5477,5407,5243,5261,5020,5020,4760
Total,45-49,8461,8374,8325,8343,8394,8405,8515,8468,8705,8242
Total,50-54,11701,11614,11402,11759,11932,12458,12685,12742,12964,12906
Total,55-59,16787,16206,16037,16286,16190,16693,17428,17289,18180,18153
Total,60-64,27120,26502,25101,24539,23966,24093,24149,24044,24305,24226
Total,65-69,33353,33587,35663,36735,36839,37978,38565,36563,35848,34315
Total,70-74,46206,45004,44766,45034,45579,47385,48991,51852,54180,53704
Total,75-79,63845,61235,62170,62886,62506,64792,64149,64347,65236,64739
Total,80-84,84239,82187,84551,85211,82860,87108,84506,85658,86686,86047
Total,85-89,93484,89267,92452,93026,91035,97881,96103,98011,99610,96258
Total,90+,87608,90836,100287,104278,103420,114265,111211,116120,117171,113984
Male,<1,1720,1845,1730,1579,1460,1583,1506,1517,1440,1435
Male,1-4,271,278,273,268,271,257,228,220,215,188
Male,5-9,157,162,148,151,162,147,137,159,137,129
Male,10-14,180,163,172,162,173,166,162,153,194,187
Male,15-19,601,557,564,532,536,534,497,514,561,458
Male,20-24,1102,958,933,897,959,970,990,866,981,979
Male,25-29,1208,1165,1097,1196,1196,1171,1254,1174,1242,1269
Male,30-34,1584,1453,1428,1523,1523,1557,1635,1510,1658,1646
Male,35-39,2318,2197,1962,2092,2017,2060,2079,2179,2260,2239
Male,40-44,3659,3514,3360,3393,3282,3244,3284,3092,3185,2899
Male,45-49,5110,5005,4962,5072,5108,5061,5150,5178,5251,4986
Male,50-54,6894,6878,6697,6973,7076,7364,7465,7524,7870,7774
Male,55-59,10043,9726,9404,9667,9689,9979,10190,10427,10755,10874
Male,60-64,16334,15766,14889,14734,14289,14418,14345,14334,14355,14333
Male,65-69,20006,19867,21054,21687,21901,22346,22684,21576,21232,20378
Male,70-74,26854,26277,25892,26100,26311,27265,28188,30100,31296,30947
Male,75-79,34830,33466,34120,34652,34589,35923,35584,35531,36041,35983
Male,80-84,41231,40705,41889,42705,41831,43933,43320,44149,44735,44736
Male,85-89,38622,37624,39335,40127,40126,42902,42730,44008,45290,44386
Male,90+,25192,27054,30329,32119,32643,36327,36383,38467,39262,39474
Female,<1,1420,1309,1310,1188,1229,1138,1205,1190,1131,1119
Female,1-4,229,234,203,229,198,203,215,172,164,190
Female,5-9,135,97,130,122,130,127,103,120,133,122
Female,10-14,147,125,128,133,119,129,123,117,116,122
Female,15-19,342,262,251,239,293,298,262,253,270,262
Female,20-24,394,425,388,386,413,380,404,345,378,389
Female,25-29,577,567,515,558,558,554,569,522,581,562
Female,30-34,772,824,787,861,861,814,906,836,876,880
Female,35-39,1363,1219,1155,1168,1198,1266,1210,1292,1347,1331
Female,40-44,2259,2201,2043,2084,2125,1999,1977,1928,1835,1861
Female,45-49,3351,3369,3363,3271,3286,3344,3365,3290,3454,3256
Female,50-54,4807,4736,4705,4786,4856,5094,5220,5218,5094,5132
Female,55-59,6744,6480,6633,6619,6501,6714,7238,6862,7425,7279
Female,60-64,10786,10736,10212,9805,9677,9675,9804,9710,9950,9893
Female,65-69,13347,13720,14609,15048,14938,15632,15881,14987,14616,13937
Female,70-74,19352,18727,18874,18934,19268,20120,20803,21752,22884,22757
Female,75-79,29015,27769,28050,28234,27917,28869,28565,28816,29195,28756
Female,80-84,43008,41482,42662,42506,41029,43175,41186,41509,41951,41311
Female,85-89,54862,51643,53117,52899,50909,54979,53373,54003,54320,51872
Female,90+,62416,63782,69958,72159,70777,77938,74828,77653,77909,74510
