"Gender","Age.Group","Fit.Bound","Population"
"Total","<1","fit",625263
"Total","1-4","fit",2776765
"Total","5-9","fit",3702184
"Total","10-14","fit",3658677
"Total","15-19","fit",3232961
"Total","20-24","fit",3678742
"Total","25-29","fit",3932147
"Total","30-34","fit",4060148
"Total","35-39","fit",3882868
"Total","40-44","fit",3631453
"Total","45-49","fit",3826332
"Total","50-54","fit",4057200
"Total","55-59","fit",3979585
"Total","60-64","fit",3368461
"Total","65-69","fit",2904611
"Total","70-74","fit",3060918
"Total","75-79","fit",2168872
"Total","80-84","fit",1586065
"Total","85-89","fit",935446
"Total","90+","fit",562658
"Male","<1","fit",322212
"Male","1-4","fit",1424081
"Male","5-9","fit",1896944
"Male","10-14","fit",1876400
"Male","15-19","fit",1665299
"Male","20-24","fit",1890697
"Male","25-29","fit",2000234
"Male","30-34","fit",2018047
"Male","35-39","fit",1915385
"Male","40-44","fit",1807205
"Male","45-49","fit",1892808
"Male","50-54","fit",2001495
"Male","55-59","fit",1955919
"Male","60-64","fit",1652045
"Male","65-69","fit",1406905
"Male","70-74","fit",1463328
"Male","75-79","fit",1011435
"Male","80-84","fit",700751
"Male","85-89","fit",377881
"Male","90+","fit",183701
"Female","<1","fit",303051
"Female","1-4","fit",1352691
"Female","5-9","fit",1805289
"Female","10-14","fit",1782275
"Female","15-19","fit",1567685
"Female","20-24","fit",1788045
"Female","25-29","fit",1931878
"Female","30-34","fit",2042106
"Female","35-39","fit",1967492
"Female","40-44","fit",1824230
"Female","45-49","fit",1933514
"Female","50-54","fit",2055681
"Female","55-59","fit",2023630
"Female","60-64","fit",1716426
"Female","65-69","fit",1497685
"Female","70-74","fit",1597570
"Female","75-79","fit",1157439
"Female","80-84","fit",885316
"Female","85-89","fit",557618
"Female","90+","fit",378934
"Total","<1","lwr",565635
"Total","1-4","lwr",2737866
"Total","5-9","lwr",3668798
"Total","10-14","lwr",3578796
"Total","15-19","lwr",3148269
"Total","20-24","lwr",3630111
"Total","25-29","lwr",3879344
"Total","30-34","lwr",4013777
"Total","35-39","lwr",3831400
"Total","40-44","lwr",3538030
"Total","45-49","lwr",3755242
"Total","50-54","lwr",4010489
"Total","55-59","lwr",3956369
"Total","60-64","lwr",3325223
"Total","65-69","lwr",2690652
"Total","70-74","lwr",2827572
"Total","75-79","lwr",2069688
"Total","80-84","lwr",1572853
"Total","85-89","lwr",919993
"Total","90+","lwr",540438
"Male","<1","lwr",292259
"Male","1-4","lwr",1403380
"Male","5-9","lwr",1880601
"Male","10-14","lwr",1833959
"Male","15-19","lwr",1622523
"Male","20-24","lwr",1866660
"Male","25-29","lwr",1967218
"Male","30-34","lwr",1992907
"Male","35-39","lwr",1890542
"Male","40-44","lwr",1756478
"Male","45-49","lwr",1857330
"Male","50-54","lwr",1980913
"Male","55-59","lwr",1943613
"Male","60-64","lwr",1631683
"Male","65-69","lwr",1302313
"Male","70-74","lwr",1349786
"Male","75-79","lwr",963462
"Male","80-84","lwr",696826
"Male","85-89","lwr",371488
"Male","90+","lwr",177649
"Female","<1","lwr",273292
"Female","1-4","lwr",1334403
"Female","5-9","lwr",1787916
"Female","10-14","lwr",1744751
"Female","15-19","lwr",1525630
"Female","20-24","lwr",1761112
"Female","25-29","lwr",1910920
"Female","30-34","lwr",2012957
"Female","35-39","lwr",1940112
"Female","40-44","lwr",1781305
"Female","45-49","lwr",1897623
"Female","50-54","lwr",2029484
"Female","55-59","lwr",2012220
"Female","60-64","lwr",1693233
"Female","65-69","lwr",1388240
"Female","70-74","lwr",1477760
"Female","75-79","lwr",1106284
"Female","80-84","lwr",875737
"Female","85-89","lwr",548334
"Female","90+","lwr",362513
"Total","<1","upr",684892
"Total","1-4","upr",2815664
"Total","5-9","upr",3735570
"Total","10-14","upr",3738558
"Total","15-19","upr",3317653
"Total","20-24","upr",3727373
"Total","25-29","upr",3984951
"Total","30-34","upr",4106519
"Total","35-39","upr",3934335
"Total","40-44","upr",3724876
"Total","45-49","upr",3897421
"Total","50-54","upr",4103910
"Total","55-59","upr",4002801
"Total","60-64","upr",3411700
"Total","65-69","upr",3118571
"Total","70-74","upr",3294265
"Total","75-79","upr",2268056
"Total","80-84","upr",1599277
"Total","85-89","upr",950898
"Total","90+","upr",584878
"Male","<1","upr",352165
"Male","1-4","upr",1444782
"Male","5-9","upr",1913288
"Male","10-14","upr",1918840
"Male","15-19","upr",1708075
"Male","20-24","upr",1914734
"Male","25-29","upr",2033250
"Male","30-34","upr",2043188
"Male","35-39","upr",1940228
"Male","40-44","upr",1857933
"Male","45-49","upr",1928286
"Male","50-54","upr",2022076
"Male","55-59","upr",1968224
"Male","60-64","upr",1672406
"Male","65-69","upr",1511498
"Male","70-74","upr",1576869
"Male","75-79","upr",1059409
"Male","80-84","upr",704676
"Male","85-89","upr",384274
"Male","90+","upr",189754
"Female","<1","upr",332810
"Female","1-4","upr",1370979
"Female","5-9","upr",1822661
"Female","10-14","upr",1819800
"Female","15-19","upr",1609740
"Female","20-24","upr",1814978
"Female","25-29","upr",1952837
"Female","30-34","upr",2071256
"Female","35-39","upr",1994872
"Female","40-44","upr",1867156
"Female","45-49","upr",1969405
"Female","50-54","upr",2081878
"Female","55-59","upr",2035040
"Female","60-64","upr",1739619
"Female","65-69","upr",1607130
"Female","70-74","upr",1717379
"Female","75-79","upr",1208595
"Female","80-84","upr",894895
"Female","85-89","upr",566901
"Female","90+","upr",395354
